"","Bird","Plant","Occupancy","Iteration","True_State"
"1",10,1,1,"34",4
"2",10,1,0,"1",4
"3",10,1,1,"30",4
"4",10,1,1,"13",4
"5",10,1,5,"19",4
"6",10,1,1,"51",4
"7",10,1,0,"35",4
"8",10,1,2,"18",4
"9",10,1,1,"17",4
"10",10,1,1,"60",4
"11",10,1,1,"26",4
"12",10,1,1,"47",4
"13",10,1,1,"2",4
"14",10,1,0,"29",4
"15",10,1,4,"14",4
"16",10,1,0,"8",4
"17",10,1,3,"12",4
"18",10,1,2,"9",4
"19",10,1,0,"43",4
"20",10,1,4,"28",4
"21",10,1,2,"10",4
"22",10,1,2,"46",4
"23",10,1,0,"7",4
"24",10,1,2,"45",4
"25",10,1,3,"59",4
"26",10,1,2,"49",4
"27",10,1,1,"3",4
"28",10,1,0,"20",4
"29",10,1,2,"15",4
"30",10,1,0,"54",4
"31",10,1,8,"27",4
"32",10,1,0,"38",4
"33",10,1,2,"24",4
"34",10,1,0,"42",4
"35",10,1,0,"25",4
"36",10,1,1,"41",4
"37",10,1,1,"48",4
"38",10,1,2,"32",4
"39",10,1,2,"33",4
"40",10,1,2,"36",4
"41",10,1,3,"58",4
"42",10,1,1,"52",4
"43",10,1,1,"37",4
"44",10,1,1,"55",4
"45",10,1,2,"50",4
"46",10,1,2,"40",4
"47",10,1,4,"16",4
"48",10,1,2,"23",4
"49",10,1,0,"22",4
"50",10,1,0,"4",4
"51",10,1,2,"31",4
"52",10,1,3,"11",4
"53",10,1,1,"5",4
"54",10,1,2,"56",4
"55",10,1,1,"6",4
"56",10,1,1,"57",4
"57",10,1,5,"21",4
"58",10,1,0,"44",4
"59",10,1,1,"53",4
"60",10,1,1,"39",4
"61",10,10,3,"48",2
"62",10,10,2,"50",2
"63",10,10,6,"51",2
"64",10,10,5,"56",2
"65",10,10,8,"57",2
"66",10,10,5,"54",2
"67",10,10,4,"8",2
"68",10,10,4,"32",2
"69",10,10,2,"6",2
"70",10,10,3,"34",2
"71",10,10,4,"16",2
"72",10,10,1,"18",2
"73",10,10,2,"2",2
"74",10,10,2,"46",2
"75",10,10,2,"1",2
"76",10,10,5,"59",2
"77",10,10,5,"29",2
"78",10,10,4,"39",2
"79",10,10,1,"23",2
"80",10,10,4,"37",2
"81",10,10,5,"33",2
"82",10,10,2,"19",2
"83",10,10,6,"52",2
"84",10,10,5,"20",2
"85",10,10,3,"21",2
"86",10,10,2,"31",2
"87",10,10,4,"30",2
"88",10,10,3,"17",2
"89",10,10,3,"60",2
"90",10,10,6,"58",2
"91",10,10,1,"41",2
"92",10,10,2,"7",2
"93",10,10,1,"49",2
"94",10,10,5,"55",2
"95",10,10,5,"22",2
"96",10,10,4,"35",2
"97",10,10,4,"36",2
"98",10,10,4,"3",2
"99",10,10,3,"53",2
"100",10,10,4,"47",2
"101",10,10,3,"25",2
"102",10,10,4,"24",2
"103",10,10,3,"40",2
"104",10,10,3,"9",2
"105",10,10,3,"13",2
"106",10,10,6,"14",2
"107",10,10,3,"12",2
"108",10,10,5,"38",2
"109",10,10,5,"5",2
"110",10,10,4,"26",2
"111",10,10,4,"15",2
"112",10,10,2,"10",2
"113",10,10,4,"4",2
"114",10,10,5,"43",2
"115",10,10,5,"28",2
"116",10,10,4,"45",2
"117",10,10,5,"27",2
"118",10,10,1,"42",2
"119",10,10,4,"11",2
"120",10,10,4,"44",2
"121",10,11,2,"23",0
"122",10,11,2,"56",0
"123",10,11,1,"50",0
"124",10,11,2,"51",0
"125",10,11,1,"17",0
"126",10,11,4,"14",0
"127",10,11,1,"25",0
"128",10,11,2,"19",0
"129",10,11,2,"24",0
"130",10,11,2,"4",0
"131",10,11,0,"47",0
"132",10,11,2,"6",0
"133",10,11,1,"21",0
"134",10,11,1,"7",0
"135",10,11,2,"38",0
"136",10,11,1,"40",0
"137",10,11,2,"1",0
"138",10,11,0,"34",0
"139",10,11,0,"18",0
"140",10,11,0,"36",0
"141",10,11,0,"31",0
"142",10,11,1,"22",0
"143",10,11,1,"5",0
"144",10,11,0,"45",0
"145",10,11,1,"54",0
"146",10,11,3,"37",0
"147",10,11,0,"3",0
"148",10,11,3,"39",0
"149",10,11,2,"26",0
"150",10,11,1,"8",0
"151",10,11,1,"2",0
"152",10,11,1,"28",0
"153",10,11,1,"12",0
"154",10,11,1,"29",0
"155",10,11,0,"55",0
"156",10,11,1,"33",0
"157",10,11,1,"53",0
"158",10,11,1,"15",0
"159",10,11,0,"48",0
"160",10,11,2,"42",0
"161",10,11,1,"52",0
"162",10,11,1,"13",0
"163",10,11,1,"27",0
"164",10,11,0,"41",0
"165",10,11,3,"60",0
"166",10,11,3,"20",0
"167",10,11,0,"46",0
"168",10,11,1,"16",0
"169",10,11,0,"57",0
"170",10,11,3,"35",0
"171",10,11,0,"9",0
"172",10,11,1,"32",0
"173",10,11,3,"10",0
"174",10,11,2,"43",0
"175",10,11,0,"30",0
"176",10,11,1,"11",0
"177",10,11,0,"49",0
"178",10,11,3,"59",0
"179",10,11,0,"58",0
"180",10,11,1,"44",0
"181",10,12,3,"8",0
"182",10,12,1,"25",0
"183",10,12,2,"57",0
"184",10,12,2,"56",0
"185",10,12,4,"9",0
"186",10,12,4,"28",0
"187",10,12,2,"27",0
"188",10,12,2,"40",0
"189",10,12,1,"42",0
"190",10,12,1,"58",0
"191",10,12,2,"18",0
"192",10,12,3,"6",0
"193",10,12,2,"29",0
"194",10,12,0,"24",0
"195",10,12,1,"59",0
"196",10,12,0,"22",0
"197",10,12,0,"26",0
"198",10,12,0,"32",0
"199",10,12,1,"20",0
"200",10,12,2,"41",0
"201",10,12,4,"39",0
"202",10,12,2,"3",0
"203",10,12,2,"1",0
"204",10,12,2,"12",0
"205",10,12,3,"23",0
"206",10,12,1,"7",0
"207",10,12,2,"10",0
"208",10,12,2,"16",0
"209",10,12,3,"49",0
"210",10,12,1,"15",0
"211",10,12,6,"48",0
"212",10,12,2,"31",0
"213",10,12,0,"14",0
"214",10,12,1,"30",0
"215",10,12,1,"46",0
"216",10,12,2,"13",0
"217",10,12,2,"34",0
"218",10,12,1,"45",0
"219",10,12,2,"5",0
"220",10,12,1,"38",0
"221",10,12,2,"43",0
"222",10,12,0,"60",0
"223",10,12,3,"37",0
"224",10,12,0,"4",0
"225",10,12,3,"21",0
"226",10,12,1,"36",0
"227",10,12,1,"51",0
"228",10,12,1,"19",0
"229",10,12,2,"2",0
"230",10,12,1,"35",0
"231",10,12,2,"55",0
"232",10,12,3,"17",0
"233",10,12,2,"50",0
"234",10,12,1,"33",0
"235",10,12,3,"54",0
"236",10,12,0,"44",0
"237",10,12,2,"47",0
"238",10,12,1,"53",0
"239",10,12,0,"52",0
"240",10,12,1,"11",0
"241",10,13,2,"49",5
"242",10,13,1,"34",5
"243",10,13,3,"2",5
"244",10,13,4,"13",5
"245",10,13,2,"17",5
"246",10,13,0,"18",5
"247",10,13,5,"20",5
"248",10,13,3,"50",5
"249",10,13,3,"19",5
"250",10,13,3,"14",5
"251",10,13,6,"48",5
"252",10,13,6,"9",5
"253",10,13,4,"56",5
"254",10,13,7,"40",5
"255",10,13,7,"1",5
"256",10,13,9,"29",5
"257",10,13,5,"60",5
"258",10,13,4,"46",5
"259",10,13,0,"15",5
"260",10,13,7,"32",5
"261",10,13,5,"16",5
"262",10,13,3,"45",5
"263",10,13,5,"51",5
"264",10,13,7,"30",5
"265",10,13,4,"4",5
"266",10,13,5,"42",5
"267",10,13,4,"41",5
"268",10,13,4,"8",5
"269",10,13,1,"47",5
"270",10,13,6,"25",5
"271",10,13,4,"12",5
"272",10,13,11,"28",5
"273",10,13,2,"31",5
"274",10,13,5,"59",5
"275",10,13,6,"35",5
"276",10,13,6,"52",5
"277",10,13,1,"43",5
"278",10,13,9,"10",5
"279",10,13,5,"57",5
"280",10,13,8,"26",5
"281",10,13,7,"55",5
"282",10,13,7,"24",5
"283",10,13,3,"23",5
"284",10,13,7,"44",5
"285",10,13,6,"36",5
"286",10,13,5,"3",5
"287",10,13,6,"37",5
"288",10,13,4,"33",5
"289",10,13,7,"27",5
"290",10,13,7,"5",5
"291",10,13,5,"7",5
"292",10,13,8,"58",5
"293",10,13,2,"39",5
"294",10,13,5,"38",5
"295",10,13,7,"21",5
"296",10,13,3,"11",5
"297",10,13,6,"6",5
"298",10,13,2,"53",5
"299",10,13,5,"22",5
"300",10,13,4,"54",5
"301",10,14,2,"18",1
"302",10,14,1,"35",1
"303",10,14,4,"3",1
"304",10,14,1,"34",1
"305",10,14,4,"2",1
"306",10,14,6,"50",1
"307",10,14,6,"33",1
"308",10,14,2,"17",1
"309",10,14,0,"21",1
"310",10,14,4,"48",1
"311",10,14,1,"51",1
"312",10,14,1,"19",1
"313",10,14,3,"49",1
"314",10,14,2,"45",1
"315",10,14,0,"1",1
"316",10,14,2,"52",1
"317",10,14,0,"20",1
"318",10,14,0,"7",1
"319",10,14,2,"24",1
"320",10,14,1,"6",1
"321",10,14,2,"31",1
"322",10,14,4,"16",1
"323",10,14,3,"54",1
"324",10,14,1,"47",1
"325",10,14,6,"39",1
"326",10,14,3,"36",1
"327",10,14,0,"4",1
"328",10,14,3,"22",1
"329",10,14,3,"15",1
"330",10,14,2,"14",1
"331",10,14,0,"30",1
"332",10,14,3,"40",1
"333",10,14,3,"13",1
"334",10,14,3,"41",1
"335",10,14,1,"23",1
"336",10,14,0,"60",1
"337",10,14,4,"37",1
"338",10,14,1,"53",1
"339",10,14,0,"5",1
"340",10,14,3,"46",1
"341",10,14,3,"32",1
"342",10,14,3,"59",1
"343",10,14,4,"58",1
"344",10,14,3,"55",1
"345",10,14,1,"56",1
"346",10,14,3,"25",1
"347",10,14,5,"26",1
"348",10,14,4,"42",1
"349",10,14,2,"44",1
"350",10,14,2,"38",1
"351",10,14,3,"28",1
"352",10,14,5,"11",1
"353",10,14,0,"43",1
"354",10,14,1,"57",1
"355",10,14,1,"8",1
"356",10,14,5,"27",1
"357",10,14,2,"10",1
"358",10,14,2,"12",1
"359",10,14,6,"29",1
"360",10,14,2,"9",1
"361",10,15,2,"6",2
"362",10,15,5,"54",2
"363",10,15,2,"36",2
"364",10,15,0,"53",2
"365",10,15,2,"51",2
"366",10,15,1,"7",2
"367",10,15,3,"37",2
"368",10,15,0,"38",2
"369",10,15,4,"23",2
"370",10,15,3,"50",2
"371",10,15,6,"39",2
"372",10,15,3,"49",2
