"","Species","mean","lower","upper"
"1","Andean Emerald",1.4,0.5,3.1
"2","Green-fronted Lancebill",0.5,0.1,2.6
"3","Hoary Puffleg",2.8,0.6,7.1
"4","Purple-bibbed Whitetip",1.7,0.5,4
"5","Sparkling Violetear",0.1,0,0.5
"6","Speckled Hummingbird",1.3,0.5,2.3
"7","Stripe-throated Hermit",3.9,1.9,6.5
"8","Tawny-bellied Hermit",7.6,5.6,9.5
"9","Violet-tailed Sylph",3.9,2.5,5.6
"10","Wedge-billed Hummingbird",0.7,0.1,2.2
"11","White-whiskered Hermit",7.7,4.9,10.7
"12","Booted Racket-tail",1.6,0.6,2.8
"13","Brown Inca",3.9,2.4,5.6
"14","Buff-tailed Coronet",5.5,3.8,7.7
"15","Collared Inca",4,1.7,7.8
"16","Fawn-breasted Brilliant",0.8,0.2,2.1
"17","Gorgeted Sunangel",5.8,3.8,8.1
"18","Green-crowned Brilliant",0.4,0.1,1.3
"19","Green-crowned Woodnymph",3,1,6.5
