"","Hummingbird","Low","m","High","Index"
"1","Andean Emerald",1378,1378.63157894737,1380,1
"2","Crowned Woodnymph",1367,1383.19047619048,1380,1
"3","White-whiskered Hermit",1360,1399.43636363636,1400,1
"4","Stripe-throated Hermit",1370,1408.31944444444,1400,1
"5","Rufous-tailed Hummingbird",1370,1435.7,1380,1
"6","Wedge-billed Hummingbird",1331,1658.05882352941,1950,3
"7","Purple-bibbed Whitetip",1400,1703.33333333333,1957.5,3
"8","Booted Racket-tail",1513,1763.8062283737,1960,3
"9","Sparkling Violetear",1820,1885.625,1952.5,2
"10","Green-crowned Brilliant",1726,1889.53846153846,2110,3
"11","Tawny-bellied Hermit",1600,1905.02807017544,2140,3
"12","Fawn-breasted Brilliant",1925,1942.96296296296,1960,2
"13","Brown Inca",1900,1946.78600823045,2000,2
"14","Violet-tailed Sylph",1950,2070.46231155779,2167.5,2
"15","Green-fronted Lancebill",2105,2171.17647058824,2270,2
"16","Collared Inca",2156,2241.9801980198,2400,2
"17","Buff-tailed Coronet",2130,2244.71698113208,2370,2
"18","Hoary Puffleg",2260,2290,2350,2
"19","Gorgeted Sunangel",2290,2318.74015748031,2410,2
"20","Speckled Hummingbird",2320,2347.20930232558,2450,2
