"","Iplant_Double","Month","Year","Hummingbird","Camera","Day","Bird","Plant","Yobs","Transect_R","DateP","ID","Elev","Traitmatch","Flowers","Month.a","jBird","jPlant"
"1","Alloplectus tetragonoides",6,"2013","Green-crowned Brilliant",243,2,10,16,0,"1900_2100","2013-06-16","FL027",NA,1.61,513.555555555556,"Jun",9,1
"2","Alloplectus tetragonoides",6,"2013","Violet-tailed Sylph",243,1,14,16,0,"1900_2100","2013-06-15","FL027",NA,2.163,513.555555555556,"Jun",16,1
"3","Alloplectus tetragonoides",6,"2013","Tawny-bellied Hermit",243,1,11,16,1,"1900_2100","2013-06-15","FL027",2090,0.276,513.555555555556,"Jun",15,1
"4","Alloplectus tetragonoides",6,"2013","Tawny-bellied Hermit",243,2,11,16,1,"1900_2100","2013-06-16","FL027",2090,0.276,513.555555555556,"Jun",15,1
"5","Alloplectus tetragonoides",6,"2013","Green-crowned Brilliant",243,1,10,16,0,"1900_2100","2013-06-15","FL027",NA,1.61,513.555555555556,"Jun",9,1
"6","Alloplectus tetragonoides",6,"2013","Violet-tailed Sylph",243,2,14,16,0,"1900_2100","2013-06-16","FL027",NA,2.163,513.555555555556,"Jun",16,1
"7","Alloplectus tetragonoides",7,"2013","Tawny-bellied Hermit",272,1,11,16,1,"1900_2100","2013-07-25","FL079",1950,0.276,24,"Jul",15,1
"8","Alloplectus tetragonoides",7,"2013","Fawn-breasted Brilliant",272,1,12,16,1,"1900_2100","2013-07-25","FL079",1950,1.719,24,"Jul",7,1
"9","Alloplectus tetragonoides",7,"2013","Tawny-bellied Hermit",272,2,11,16,2,"1900_2100","2013-07-26","FL079",1950,0.276,24,"Jul",15,1
"10","Alloplectus tetragonoides",7,"2013","Green-crowned Brilliant",272,2,10,16,0,"1900_2100","2013-07-26","FL079",NA,1.61,24,"Jul",9,1
"11","Alloplectus tetragonoides",7,"2013","Brown Inca",272,2,13,16,4,"1900_2100","2013-07-26","FL079",1950,0.431,24,"Jul",3,1
"12","Alloplectus tetragonoides",7,"2013","Fawn-breasted Brilliant",272,2,12,16,0,"1900_2100","2013-07-26","FL079",NA,1.719,24,"Jul",7,1
"13","Alloplectus tetragonoides",7,"2013","Purple-bibbed Whitetip",272,2,7,16,0,"1900_2100","2013-07-26","FL079",NA,1.857,24,"Jul",12,1
