"","Iplant_Double","Low","m","High","Index"
"1","Abutilon pictum",1410,1415,1420,1
"2","Alloplectus",1950,2060.41666666667,2232,2
"3","Alloplectus purpureus",1370,1499.00735294118,1630,1
"4","Alloplectus strigosus",2470,2470,2470,2
"5","Alloplectus tenuis",1750,1765,1918,2
"6","Alloplectus tetragonoides",1940,1972.91338582677,2010,2
"7","Alloplectus teuscheri",2150,2267.39393939394,2380,2
"8","Begonia",1860,1965,2070,2
"9","Begonia longirostris",2140,2133.38461538462,2240,2
"10","Begonia tiliifolia",1950,2002.5,2170,2
"11","Besleria",1912,2031.25,2120,2
"12","Besleria anomala",1810,1810,1810,2
"13","Besleria quitensis",1786,1855,1924,2
"14","Besleria solanoides",1800,1973.6172629188,2130,2
"15","Blakea",1660,1690,1720,3
"16","Blakea quadriflora",1600,1662.95566502463,1660,1
"17","Bomarea multiflora",2382,2374.16666666667,2460,2
"18","Bomarea pardina",1950,2101.02272727273,2276,2
"19","Brugmansia",1734,1740,1746,2
"20","Brugmansia candida",1736,1740,1744,2
"21","Burmeistera",1750,1808.10810810811,1800,2
"22","Burmeistera crispiloba",1736,1947.89473684211,2460,2
"23","Burmeistera cylindrocarpa",1998,2091.41176470588,2130,2
"24","Burmeistera multiflora",1570,1601.90751445087,1650,1
"25","Calathea affinis",2120,2120,2120,2
"26","Calathea ischnosiphonoides",1904,2003.33333333333,2126,2
"27","Canna jaegeriana",1370,1372,1372,1
"28","Capanea affinis",1960,2048.88888888889,2120,2
"29","Cavendishia grandifolia",1580,1580,1580,1
"30","Centropogon",2144,2180,2210,2
"31","Centropogon nigricans",2140,2234.35754189944,2450,2
"32","Centropogon solanifolius",1960,2076.84563758389,2230,2
"33","Columnea",1970,2129.52380952381,2230,2
"34","Columnea affinis",2120,2120,2120,2
"35","Columnea ciliata",1370,1745.73440643863,2018,3
"36","Columnea cinerea",1370,1535.91428571429,1680,1
"37","Columnea katzensteiniae",1754,2088.57142857143,2374,2
"38","Columnea kucyniakii",1850,1907.42071881607,2000,2
"39","Columnea lanata",1690,1690,1690,1
"40","Columnea medicinalis",2000,2090.47619047619,2210,2
"41","Columnea ovatifolia",2360,2385.45454545455,2410,2
"42","Columnea picta",1370,1511.53846153846,1650,1
"43","Columnea purpurata",1446,1530,1614,1
"44","Columnea stricta",1380,1380,1380,1
"45","Columnea strigosa",2170,2296.35467980296,2410,2
"46","Costus",1360,1367.27272727273,1370,1
"47","Diastema racemiferum",1730,1742.5,1752,2
